reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
16,1,189.92,2743.42,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
16,2,193.14,2888.12,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
16,3,189.05,2765.83,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
16,1,182.91,2518.47,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
16,2,186.45,2589.5,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
16,3,189.12,2626.3,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
16,1,185.06,2585.93,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
16,2,194.04,2823.95,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
16,3,198.53,2926.83,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
16,1,180.73,2454.2,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
16,2,191.24,2644.79,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
16,3,182.06,2506.58,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
16,1,212.69,3400,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
16,2,206.14,3410,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
16,3,218.93,3430,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
16,1,202.82,3140,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
16,2,206.11,3210,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
16,3,215.17,3260,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
16,1,293.02,7030,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
16,2,287.24,6780,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
16,3,309.4,6920,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
16,1,281.66,7740,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
16,2,289.55,7640,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
16,3,293.93,7280,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
19,1,111.31,931.06,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
19,2,108.82,910.27,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
19,3,111.06,948.35,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
19,1,111.27,895.95,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
19,2,113.64,954.6,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
19,3,115.58,957.96,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
19,1,113.48,927.1,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
19,2,108.09,908.19,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
19,3,112.62,951.33,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
19,1,108.45,862.23,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
19,2,111.15,951.66,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
19,3,114.61,965.79,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
19,1,196.96,2270,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
19,2,187.11,2640,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
19,3,183.21,2590,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
19,1,155.63,2220,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
19,2,171.3,2460,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
19,3,168.08,2450,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
19,1,170.39,2210,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
19,2,179.43,2790,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
19,3,180.74,2210,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
19,1,NA,NA,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
19,2,NA,NA,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
19,3,NA,NA,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
12,1,396.68,11950.2,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
12,2,394.01,11912.19,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
12,3,398.4,12263.73,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,TJQ,
12,1,404.64,11917.33,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
12,2,385.21,10960.36,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
12,3,383.41,11229.67,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",TJQ,
12,1,372.75,10604.42,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
12,2,373.86,10497.13,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
12,3,372.19,10438.5,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,TJQ,
12,1,380.32,10847.51,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
12,2,375.45,10732.72,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
12,3,374.47,10660.05,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),TJQ,
12,1,418.76,12090,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,2,413.89,12710,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,3,409.33,12808,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,1,393.19,12280,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,2,404.86,12680,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,3,410.11,12000,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,1,387.77,11200,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,2,402.05,12640,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,3,397.76,12950,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,1,428.8,15040,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
12,2,464.65,15920,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
12,3,461.76,15720,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
